Time,Open,High,Low,Close,Volume
2024.01.02 00:00:00,1.10437,1.10451,1.09374,1.09407,205171
2024.01.03 00:00:00,1.09425,1.09655,1.08925,1.09212,234801
2024.01.04 00:00:00,1.09205,1.09723,1.09056,1.09435,195260
2024.01.05 00:00:00,1.09443,1.09988,1.08769,1.09408,263575
2024.01.08 00:00:00,1.09331,1.09789,1.09225,1.09496,183411
2024.01.09 00:00:00,1.09525,1.09664,1.09101,1.09305,202308
2024.01.10 00:00:00,1.09305,1.0973,1.09228,1.09718,174563
2024.01.11 00:00:00,1.09716,1.10004,1.09299,1.09716,269658
2024.01.12 00:00:00,1.0962,1.09871,1.09358,1.09497,216019
2024.01.15 00:00:00,1.09472,1.0967500000000001,1.09335,1.09482,128464
2024.01.16 00:00:00,1.09468,1.0951,1.08619,1.08748,251472
2024.01.17 00:00:00,1.08743,1.08846,1.08444,1.08823,222523
2024.01.18 00:00:00,1.08814,1.09069,1.08465,1.08757,215990
2024.01.19 00:00:00,1.0876,1.08974,1.08591,1.08968,172794
2024.01.22 00:00:00,1.08898,1.09096,1.08797,1.0882,165908
2024.01.23 00:00:00,1.08816,1.09162,1.08215,1.08542,207822
2024.01.24 00:00:00,1.08547,1.09325,1.0841,1.0884,212695
2024.01.25 00:00:00,1.0884,1.09021,1.08213,1.08455,236632
2024.01.26 00:00:00,1.08455,1.08857,1.08128,1.08533,184258
2024.01.29 00:00:00,1.0844,1.08502,1.07957,1.08321,168740
2024.01.30 00:00:00,1.08314,1.08575,1.08116,1.08451,193552
2024.01.31 00:00:00,1.08451,1.08876,1.07945,1.08174,321617
2024.02.01 00:00:00,1.08173,1.08749,1.07799,1.08709,261954
2024.02.02 00:00:00,1.0871,1.08976,1.07803,1.07858,213182
2024.02.05 00:00:00,1.07818,1.07863,1.07231,1.0742099999999999,199757
2024.02.06 00:00:00,1.07408,1.07625,1.07225,1.07539,141204
2024.02.07 00:00:00,1.07536,1.07841,1.07468,1.07711,119518
2024.02.08 00:00:00,1.07711,1.07889,1.07414,1.07769,114675
2024.02.09 00:00:00,1.07771,1.07953,1.07622,1.07844,109641
2024.02.12 00:00:00,1.07785,1.08058,1.07557,1.07695,123716
2024.02.13 00:00:00,1.07712,1.07977,1.07002,1.07084,146193
2024.02.14 00:00:00,1.07083,1.07347,1.06945,1.07257,124709
2024.02.15 00:00:00,1.07241,1.0785,1.07229,1.07714,126671
2024.02.16 00:00:00,1.07705,1.07874,1.07319,1.07769,124752
2024.02.19 00:00:00,1.07722,1.07894,1.07618,1.07782,84124
2024.02.20 00:00:00,1.07785,1.08389,1.07613,1.08068,131771
2024.02.21 00:00:00,1.08064,1.08245,1.07897,1.0818,126403
2024.02.22 00:00:00,1.08181,1.08884,1.08027,1.0822,143407
2024.02.23 00:00:00,1.08222,1.08396,1.08116,1.08184,114073
2024.02.26 00:00:00,1.0830899999999999,1.08597,1.08125,1.08484,119123
2024.02.27 00:00:00,1.08502,1.08661,1.08328,1.0843099999999999,117059
2024.02.28 00:00:00,1.08432,1.08468,1.07963,1.08369,129079
2024.02.29 00:00:00,1.08372,1.0856,1.07957,1.08038,151207
2024.03.01 00:00:00,1.08045,1.08433,1.07963,1.0838700000000001,127274
2024.03.04 00:00:00,1.084,1.0867,1.0829,1.0853,122146
2024.03.05 00:00:00,1.08548,1.08765,1.08401,1.08545,126194
2024.03.06 00:00:00,1.0856,1.09154,1.08417,1.08973,142457
2024.03.07 00:00:00,1.08975,1.09493,1.08676,1.09465,137628
2024.03.08 00:00:00,1.09472,1.09813,1.09183,1.0937000000000001,142376
2024.03.11 00:00:00,1.09388,1.09483,1.09144,1.09249,109373
2024.03.12 00:00:00,1.09249,1.09436,1.09022,1.09261,65017
2024.03.13 00:00:00,1.09261,1.09637,1.09201,1.09473,37052
2024.03.14 00:00:00,1.09475,1.09547,1.08792,1.08845,41942
2024.03.15 00:00:00,1.08845,1.08996,1.08729,1.08872,34272
2024.03.18 00:00:00,1.08881,1.0906,1.08661,1.08728,30867
2024.03.19 00:00:00,1.08708,1.08765,1.08347,1.08645,39537
2024.03.20 00:00:00,1.08642,1.09227,1.08364,1.09205,40642
2024.03.21 00:00:00,1.09196,1.09426,1.08528,1.08596,45886
2024.03.22 00:00:00,1.08596,1.08679,1.08017,1.08062,36766
2024.03.25 00:00:00,1.08062,1.08423,1.08022,1.08355,29143
2024.03.26 00:00:00,1.08355,1.08643,1.08243,1.08312,35376
2024.03.27 00:00:00,1.08312,1.08391,1.08107,1.08262,36081
2024.03.28 00:00:00,1.08261,1.0826500000000001,1.0775,1.07881,40574
2024.03.29 00:00:00,1.07872,1.08052,1.07678,1.07917,21957
2024.04.01 00:00:00,1.0787,1.07987,1.07309,1.07422,30356
2024.04.02 00:00:00,1.07423,1.0779,1.07246,1.07687,37828
2024.04.03 00:00:00,1.07685,1.08369,1.0764,1.08355,39180
2024.04.04 00:00:00,1.08352,1.08764,1.08292,1.08362,33917
