Time,Open,High,Low,Close,Volume
2024.01.02 00:00:00,1.10437,1.10451,1.1034,1.10347,10037
2024.01.02 04:00:00,1.10348,1.10358,1.10163,1.10331,17127
2024.01.02 08:00:00,1.10332,1.10389,1.10108,1.10152,36734
2024.01.02 12:00:00,1.1015,1.10171,1.0949200000000001,1.09528,47781
2024.01.02 16:00:00,1.09527,1.09684,1.09407,1.09506,68980
2024.01.02 20:00:00,1.09506,1.0956,1.09374,1.09407,24512
2024.01.03 00:00:00,1.09425,1.09547,1.09362,1.09513,11519
2024.01.03 04:00:00,1.09513,1.09629,1.09485,1.0951,11613
2024.01.03 08:00:00,1.0951,1.09655,1.09349,1.09364,31932
2024.01.03 12:00:00,1.09363,1.09391,1.091,1.09216,47487
2024.01.03 16:00:00,1.09216,1.0939,1.08979,1.09067,78781
2024.01.03 20:00:00,1.09068,1.0925799999999999,1.08925,1.09212,53469
2024.01.04 00:00:00,1.09205,1.09276,1.09056,1.09177,11053
2024.01.04 04:00:00,1.09177,1.09308,1.09156,1.09265,13463
2024.01.04 08:00:00,1.09265,1.09691,1.09205,1.09676,41475
2024.01.04 12:00:00,1.09677,1.09723,1.09326,1.09471,44873
2024.01.04 16:00:00,1.09471,1.09654,1.09382,1.09505,60802
2024.01.04 20:00:00,1.09505,1.09545,1.09428,1.09435,23594
2024.01.05 00:00:00,1.09443,1.09559,1.09405,1.09516,15605
2024.01.05 04:00:00,1.09516,1.09541,1.09338,1.09373,11823
2024.01.05 08:00:00,1.09374,1.09374,1.09027,1.09128,34415
2024.01.05 12:00:00,1.09128,1.09281,1.08769,1.09215,55707
2024.01.05 16:00:00,1.09217,1.09988,1.09216,1.09462,111451
2024.01.05 20:00:00,1.09461,1.09598,1.09352,1.09408,34574
2024.01.08 00:00:00,1.09331,1.0953,1.09326,1.09479,10363
2024.01.08 04:00:00,1.09479,1.09479,1.09303,1.09375,12790
2024.01.08 08:00:00,1.09375,1.09523,1.09225,1.0937000000000001,33958
2024.01.08 12:00:00,1.09374,1.09564,1.09342,1.09508,39588
2024.01.08 16:00:00,1.09508,1.09789,1.0949200000000001,1.09646,59628
2024.01.08 20:00:00,1.09646,1.09659,1.09487,1.09496,27084
2024.01.09 00:00:00,1.09525,1.09619,1.0945,1.0961400000000001,15694
2024.01.09 04:00:00,1.09615,1.09664,1.09477,1.09498,14316
2024.01.09 08:00:00,1.09496,1.0963,1.0937999999999999,1.0944099999999999,33727
2024.01.09 12:00:00,1.09442,1.09482,1.09286,1.09462,43367
2024.01.09 16:00:00,1.09462,1.09514,1.09101,1.09341,64002
2024.01.09 20:00:00,1.0934,1.09404,1.09198,1.09305,31202
2024.01.10 00:00:00,1.09305,1.09364,1.09231,1.09321,12589
2024.01.10 04:00:00,1.09321,1.0936,1.09275,1.09322,12032
2024.01.10 08:00:00,1.09321,1.09519,1.09228,1.09473,35473
2024.01.10 12:00:00,1.09472,1.09555,1.09403,1.09404,33061
2024.01.10 16:00:00,1.09403,1.09692,1.09318,1.0967,53264
2024.01.10 20:00:00,1.09671,1.0973,1.09592,1.09718,28144
2024.01.11 00:00:00,1.09716,1.09802,1.09659,1.09787,13186
2024.01.11 04:00:00,1.09787,1.09849,1.09754,1.09782,13018
2024.01.11 08:00:00,1.09781,1.09886,1.09589,1.09638,28590
2024.01.11 12:00:00,1.09637,1.10004,1.09354,1.094,59120
2024.01.11 16:00:00,1.094,1.0973600000000001,1.09299,1.09509,110574
2024.01.11 20:00:00,1.09508,1.0983,1.09497,1.09716,45170
2024.01.12 00:00:00,1.0962,1.09849,1.09613,1.09826,16233
2024.01.12 04:00:00,1.09825,1.09854,1.09729,1.09754,13020
2024.01.12 08:00:00,1.09755,1.09829,1.09609,1.09626,32590
2024.01.12 12:00:00,1.09625,1.09696,1.09358,1.09552,54963
2024.01.12 16:00:00,1.09552,1.09871,1.09468,1.09496,74951
2024.01.12 20:00:00,1.09496,1.09636,1.09474,1.09497,24262
2024.01.15 00:00:00,1.09472,1.09561,1.09406,1.09546,15138
2024.01.15 04:00:00,1.09547,1.0967500000000001,1.09547,1.09639,13762
2024.01.15 08:00:00,1.0964,1.09666,1.0943,1.09467,27897
2024.01.15 12:00:00,1.09467,1.09592,1.09335,1.09506,35959
2024.01.15 16:00:00,1.09506,1.09526,1.09379,1.09482,30106
2024.01.15 20:00:00,1.09482,1.09536,1.09461,1.09482,5602
2024.01.16 00:00:00,1.09468,1.0951,1.09152,1.09275,23975
2024.01.16 04:00:00,1.09277,1.09277,1.09122,1.0915300000000001,17923
2024.01.16 08:00:00,1.0915300000000001,1.09267,1.08839,1.08862,44228
2024.01.16 12:00:00,1.08862,1.08981,1.08714,1.08742,50880
2024.01.16 16:00:00,1.08743,1.08946,1.08619,1.0863,87842
2024.01.16 20:00:00,1.0863,1.08772,1.08627,1.08748,26624
2024.01.17 00:00:00,1.08743,1.08822,1.0862,1.08773,15121
2024.01.17 04:00:00,1.08773,1.08846,1.0860400000000001,1.08649,18099
2024.01.17 08:00:00,1.08649,1.08817,1.0855299999999999,1.08766,43715
2024.01.17 12:00:00,1.08765,1.0884,1.08514,1.08637,47912
2024.01.17 16:00:00,1.08638,1.08711,1.08444,1.0867,68878
2024.01.17 20:00:00,1.0867,1.08827,1.08562,1.08823,28798
